"TOA5","1","CR1000X","5122","CR1000X.Std.03.02","CPU:TDG_191227_Enc.CR1X","49734","FWS2"
"TIMESTAMP","RECORD","FWS_Data(1)","FWS_Data(2)","FWS_Data(3)","FWS_Data(4)","FWS_Data(5)","FWS_Data(6)","FWS_Data(7)","FWS_Data(8)","FWS_Data(9)","FWS_Data(10)","FWS_Data(11)","FWS_Data(12)","FWS_Data(13)","FWS_Data(14)","FWS_Data(15)"
"TS","RN","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-09-20 04:02:00",2515,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.8C","Ua=095.6P","Pa=000986.9H","T=200920040144","La=29.0148100","N","Lo=105.8498260","E  ",""
"2020-09-20 05:02:00",2516,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.3C","Ua=097.6P","Pa=000986.8H","T=200920050143","La=29.0147710","N","Lo=105.8498480","E  ",""
"2020-09-20 06:02:00",2517,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.2C","Ua=098.1P","Pa=000987.0H","T=200920060144","La=29.0147880","N","Lo=105.8498300","E  ",""
"2020-09-20 07:02:00",2518,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.0C","Ua=098.4P","Pa=000987.0H","T=200920070144","La=29.0147550","N","Lo=105.8498650","E  ",""
"2020-09-20 08:02:00",2519,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.2C","Ua=097.7P","Pa=000987.3H","T=200920080144","La=29.0147610","N","Lo=105.8498540","E  ",""
"2020-09-20 09:02:00",2520,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.5C","Ua=095.3P","Pa=000987.5H","T=200920090144","La=29.0147970","N","Lo=105.8498360","E  ",""
"2020-09-20 10:02:00",2521,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=022.2C","Ua=089.6P","Pa=000987.9H","T=200920100144","La=29.0147750","N","Lo=105.8498430","E  ",""
"2020-09-20 11:02:00",2522,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=022.5C","Ua=088.1P","Pa=000987.4H","T=200920110143","La=29.0147690","N","Lo=105.8498640","E  ",""
"2020-09-20 12:02:00",2523,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=023.0C","Ua=086.5P","Pa=000986.7H","T=200920120144","La=29.0147700","N","Lo=105.8498320","E  ",""
"2020-09-20 13:02:00",2524,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=023.3C","Ua=087.2P","Pa=000985.9H","T=200920130144","La=29.0148020","N","Lo=105.8498210","E  ",""
"2020-09-20 14:02:00",2525,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=024.6C","Ua=081.6P","Pa=000984.6H","T=200920140144","La=29.0148050","N","Lo=105.8498730","E  ",""
"2020-09-20 15:02:00",2526,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=024.8C","Ua=082.0P","Pa=000983.6H","T=000000000000","La=29.0148030","N","Lo=105.8498780","E  ",""
"2020-09-20 16:02:00",2527,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=023.5C","Ua=084.7P","Pa=000983.3H","T=200920160144","La=29.0148160","N","Lo=105.8498570","E  ",""
"2020-09-20 17:02:00",2528,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=023.6C","Ua=086.7P","Pa=000983.0H","T=200920170145","La=29.0147940","N","Lo=105.8498640","E  ",""
"2020-09-20 18:02:00",2529,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=022.5C","Ua=094.4P","Pa=000983.1H","T=200920180145","La=29.0147780","N","Lo=105.8498640","E  ",""
"2020-09-20 19:02:00",2530,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=022.5C","Ua=094.4P","Pa=000983.3H","T=200920190145","La=29.0147580","N","Lo=105.8498420","E  ",""
"2020-09-20 20:02:00",2531,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.7C","Ua=098.1P","Pa=000983.8H","T=200920200145","La=29.0147930","N","Lo=105.8497940","E  ",""
